Date,Stock Symbol,Open Price,High Price,Low Price,Close Price,Volume
30/07/2024,BAC.N,185.3591516,189.1069737,184.275444,186.3977047,13996714
30/07/2024,GOOGL.OQ,237.379554,238.9285006,235.0770658,237.6307345,6808540
30/07/2024,JNJ.N,120.2132002,122.4917461,120.0767149,122.328722,1774188
30/07/2024,JPM.N,243.9851787,247.1810409,243.9393599,246.4937587,2865600
30/07/2024,LLY.N,561.6244759,567.1854562,536.0232421,545.8810296,745616
30/07/2024,MSFT.OQ,242.507004,243.0906073,236.4953233,239.6286498,10582034
30/07/2024,ORCL.N,279.7805204,280.8066841,271.5510897,272.9796706,1843029
30/07/2024,QQQ.OQ,204.4735831,204.7632493,199.3254256,200.8044785,9557113
30/07/2024,SPY.N,190.5805986,190.9608876,187.8941536,189.0280427,1230006
30/07/2024,WMT.N,178.8717985,179.6692997,177.46974,177.9971198,4089527
31/07/2024,AAPL.OQ,281.956978,284.8203251,280.7861871,282.6187293,19353167
31/07/2024,AMZN.OQ,149.9287749,152.1059958,149.2974618,151.3370888,15283457
31/07/2024,BAC.N,186.1719323,186.8492496,181.656484,182.0177199,15730701
31/07/2024,GOOGL.OQ,241.7473042,243.1148427,237.2400092,239.3750437,10389582
31/07/2024,JNJ.N,121.2065097,121.5249753,119.6141814,119.6900066,3196451
31/07/2024,JPM.N,245.5086543,247.8625958,243.6071736,243.7560847,2918628
31/07/2024,LLY.N,552.4367691,560.0908886,547.324812,555.593748,785716
31/07/2024,MSFT.OQ,238.3084597,238.9770538,233.5829728,237.0392642,14007621
31/07/2024,ORCL.N,280.9676509,284.8107346,278.9958069,280.5853546,2216340
31/07/2024,QQQ.OQ,205.4874147,207.4975223,204.701805,206.7470236,11822809
31/07/2024,SPY.N,191.5400433,193.1100436,191.0585765,192.0703545,2327385
31/07/2024,WMT.N,177.971394,178.1514749,175.6817938,176.5821984,7078043
1/08/2024,AAPL.OQ,285.4438985,285.5711584,276.1857427,277.884662,21277576
1/08/2024,AMZN.OQ,153.1743719,154.2670292,147.2173659,148.9818052,20445517
1/08/2024,BAC.N,182.4241102,182.5144192,176.0347509,178.3602068,15960745
1/08/2024,GOOGL.OQ,237.7702793,242.8497077,235.6631537,238.2865948,8859631
1/08/2024,JNJ.N,120.2359477,121.9344312,119.5914339,121.8965186,2365046
1/08/2024,JPM.N,244.2142728,244.9130097,236.4136199,238.2120083,3131778
1/08/2024,LLY.N,575.3093232,580.2762112,566.88841,575.0537253,731931
1/08/2024,MSFT.OQ,238.2687974,242.1613747,234.0645872,236.3366738,9196092
1/08/2024,ORCL.N,280.2634209,282.3157483,273.1808791,276.6819083,1709113
1/08/2024,QQQ.OQ,207.0323008,208.7132423,200.1242019,201.7393102,13015310
1/08/2024,SPY.N,192.7960435,193.5845326,188.2116425,189.4571761,2501063
1/08/2024,WMT.N,177.2253445,179.5663963,176.2992141,179.5406705,4903411
2/08/2024,AAPL.OQ,278.890015,287.0982769,277.0574728,279.7935601,28112762
2/08/2024,AMZN.OQ,134.7125097,136.5983554,129.9452862,135.8941984,35581482
2/08/2024,BAC.N,171.5870344,173.9350675,167.8843668,169.6905461,21104762
2/08/2024,GOOGL.OQ,231.9652181,235.1468382,229.7883202,232.5652605,10873990
2/08/2024,JNJ.N,122.8367505,124.9446898,122.0784989,124.4594088,2963314
2/08/2024,JPM.N,234.0997699,234.248681,225.5545613,228.1089601,5070608
2/08/2024,LLY.N,561.0165674,566.5844558,543.732626,555.725001,624545
2/08/2024,MSFT.OQ,233.9512661,235.1411369,229.101126,231.4525374,10019091
2/08/2024,ORCL.N,267.1647428,270.1627506,265.2733823,268.1707857,2295757
2/08/2024,QQQ.OQ,197.7542061,199.0577038,195.0857664,196.9510409,15091946
2/08/2024,SPY.N,186.9137755,187.342909,184.433175,185.9438642,3076049
2/08/2024,WMT.N,179.0518795,180.6726077,174.2797353,176.1191332,6435171
5/08/2024,AAPL.OQ,253.2471503,271.6616541,249.6965998,266.3167394,41668660
5/08/2024,AMZN.OQ,124.6762497,131.8958819,122.7094664,130.3256928,27668205
5/08/2024,BAC.N,161.1111944,166.8683909,158.7180068,165.4911792,20232576
5/08/2024,GOOGL.OQ,216.7548417,229.4534128,216.1966627,222.2249954,20131969
5/08/2024,JNJ.N,124.7172144,125.7029414,121.7600334,122.2680619,3401400
5/08/2024,JPM.N,219.735572,224.6610944,218.7275581,223.2521659,4015236
5/08/2024,LLY.N,526.096374,547.5389616,516.6392533,535.5534946,1074053
